Member_Last,Member_First,State,District,Party,Chair,Ranking,NOMINATE_DIM1,NOMINATE_DIM2
Abercrombie,Neil,HI,1,D,N,N,-0.432,-0.026
Andrews,Thomas,ME,1,D,N,N,-0.398,-0.624
Aspin,Leslie,WI,1,D,Y,N,-0.32,-0.125
Bennett,Charles,FL,3,D,N,N,-0.088,0.421
Bilbray,James,NV,1,D,N,N,-0.184,0.258
Boxer,Barbara,CA,6,D,N,N,-0.45,-0.423
Browder,Glen,AL,3,D,N,N,-0.165,0.826
Bustamante,Albert,TX,23,D,N,N,-0.392,0.667
Byron,Beverly,MD,6,D,N,N,-0.024,0.516
Darden,Buddy,GA,7,D,N,N,-0.161,0.691
Dellums,Ronald,CA,8,D,N,N,-0.644,-0.646
Edwards,Chet,TX,11,D,N,N,-0.226,0.5
Evans,Lane,IL,17,D,N,N,-0.454,-0.181
Foglietta,Tom,PA,1,D,N,N,-0.506,-0.057
Hertel,Dennis,MI,14,D,N,N,-0.345,-0.223
Hochbrueckner,George,NY,1,D,N,N,-0.348,0.117
Hutto,Earl,FL,1,D,N,N,-0.007,0.732
Lancaster,Martin,NC,3,D,N,N,-0.134,0.416
Lloyd,Marilyn,TN,3,D,N,N,-0.058,0.452
Mavroules,Nicholas,MA,6,D,N,N,-0.342,-0.023
McCloskey,Frank,IN,8,D,N,N,-0.336,0.094
McCurdy,David,OK,4,D,N,N,-0.112,0.299
McNulty,Michael,NY,23,D,N,N,-0.369,0.369
Montgomery,G.V. (Sonny),MS,3,D,N,N,0.017,1
Ortiz,Solomn,TX,27,D,N,N,-0.272,0.712
Picket,Owen,VA,2,D,N,N,-0.149,0.555
Ray,Richard,GA,3,D,N,N,0.035,0.56
Schroeder,Patricia,CO,1,D,N,N,-0.225,-0.974
Sisisky,Norman,VA,4,D,N,N,-0.122,0.453
Skelton,Ike,MO,4,D,N,N,-0.172,0.724
Spratt,John,SC,5,D,N,N,-0.256,0.255
Tanner,John,TN,8,D,N,N,-0.182,0.648
Taylor,Gene,MS,4,D,N,N,-0.045,0.893
Bateman,Herbert,VA,1,R,N,N,0.242,0.191
Cunningham,Randy,CA,44,R,N,N,0.411,0.001
Davis,Robert,MI,11,R,N,N,0.098,-0.146
Dickinson,William,AL,2,R,N,N,0.398,-0.057
Dornan,Robert,CA,38,R,N,N,0.49,-0.111
Franks,Gary,CT,5,R,N,N,0.273,-0.519
Hansen,James,UT,1,R,N,N,0.496,0.143
Hefley,Joel,CO,5,R,N,N,0.591,0.13
Hopkins,Larry,KY,6,R,N,N,0.347,-0.242
Hunter,Duncan,CA,45,R,N,N,0.47,0.02
Ireland,Andy,FL,10,R,N,N,0.42,-0.312
Kasich,John,OH,12,R,N,N,0.314,0.013
Kyl,Jon,AZ,4,R,N,N,0.548,-0.413
Machtley,Ronald,RI,1,R,N,N,0.113,-0.86
Martin,David,NY,26,R,N,N,0.232,-0.232
McCrery,Jim,LA,4,R,N,N,0.362,0.08
Ravenel,Arthur,SC,1,R,N,N,0.162,-0.119
Saxton,Jim,NJ,13,R,N,N,0.238,-0.378
Spence,Floyd,SC,2,R,N,Y,0.32,0.185
Stump,Bob,AZ,3,R,N,N,0.703,0.203
Weldon,Curt,PA,7,R,N,N,0.232,-0.324
