Member_Last,Member_First,State,District,Party,Chair,Ranking,NOMINATE_DIM1,NOMINATE_DIM2,,,,,,,
Abercrombie,Neil,HI,1,D,N,N,-0.432,-0.026,,,,,,,
Andrews,Thomas,ME,1,D,N,N,-0.398,-0.624,,,,,,,
Bilbray,James,NV,1,D,N,N,-0.184,0.258,,,,,,,
Browder,Glen,AL,3,D,N,N,-0.165,0.826,,,,,,,
Dellums,Ronald,CA,9,D,N,N,-0.644,-0.646,,,,,,,
Edwards,Chet,TX,11,D,N,N,-0.226,0.5,,,,,,,
Evans,Lane,IL,17,D,N,N,-0.454,-0.181,,,,,,,
Farr,Sam,CA,17,D,N,N,-0.455,-0.219,,,,,,,
Furse,Elizabeth,OR,1,D,N,N,-0.457,-0.438,,,,,,,
Geren,Pete,TX,12,D,N,N,-0.032,0.729,,,,,,,
Harman,Jane,CA,36,D,N,N,-0.262,-0.12,,,,,,,
Hochbrueckner,George,NY,1,D,N,N,-0.348,0.117,,,,,,,
Hutto,Earl,FL,1,D,N,N,-0.007,0.732,,,,,,,
Johnson,Don,GA,10,D,N,N,-0.168,0.132,,,,,,,
Lancaster,Martin,NC,3,D,N,N,-0.134,0.416,,,,,,,
Lloyd,Marilyn,TN,3,D,N,N,-0.058,0.452,,,,,,,
Mann,David,OH,1,D,N,N,-0.216,-0.149,,,,,,,
McCloskey,Frank,IN,8,D,N,N,-0.336,0.094,,,,,,,
McCurdy,David,OK,4,D,N,N,-0.112,0.299,,,,,,,
McHale,Paul,PA,15,D,N,N,-0.242,-0.002,,,,,,,
Meehan,Martin,MA,5,D,N,N,-0.39,-0.539,,,,,,,
Ortiz,Solomn,TX,27,D,N,N,-0.272,0.712,,,,,,,
Picket,Owen,VA,2,D,N,N,-0.149,0.555,,,,,,,
Schroeder,Patricia,CO,1,D,N,N,-0.225,-0.974,,,,,,,
Sisisky,Norman,VA,4,D,N,N,-0.122,0.453,,,,,,,
Skelton,Ike,MO,4,D,N,N,-0.172,0.724,,,,,,,
Spratt,John,SC,5,D,N,N,-0.256,0.255,,,,,,,
Stupak,Bart,MI,1,D,N,N,-0.396,0.701,,,,,,,
Tanner,John,TN,8,D,N,N,-0.182,0.648,,,,,,,
Taylor,Gene,MS,4,D,N,N,-0.045,0.893,,,,,,,
Tejeda,Frank,TX,28,D,N,N,-0.277,0.961,,,,,,,
Underwood,Robert,GU,1,D,N,N,,,,,,,,,
Montgomery,G.V. (Sonny),MS,3,D,Y,N,0.017,1,,,,,,,
Bartlett,Roscoe,MD,6,R,N,N,0.493,-0.091,,,,,,,
Bateman,Herbert,VA,1,R,N,N,0.242,0.191,,,,,,,
Buyer,Steve,IN,5,R,N,N,0.435,0.192,,,,,,,
Cunningham,Randy,CA,51,R,N,N,0.411,0.001,,,,,,,
Dornan,Robert,CA,46,R,N,N,0.49,-0.111,,,,,,,
Everett,Terry,AL,2,R,N,N,0.414,0.528,,,,,,,
Fowler,Tillie,FL,4,R,N,N,0.329,-0.209,,,,,,,
Hansen,James,UT,1,R,N,N,0.496,0.143,,,,,,,
Hefley,Joel,CO,5,R,N,N,0.591,0.13,,,,,,,
Holden,Tim,PA,6,R,N,N,-0.233,0.608,,,,,,,
Hunter,Duncan,CA,52,R,N,N,0.47,0.02,,,,,,,
Inhofe,James,OK,1,R,N,N,0.552,0.045,,,,,,,
Kasich,John,OH,12,R,N,N,0.314,0.013,,,,,,,
Kyl,Jon,AZ,4,R,N,N,0.548,-0.413,,,,,,,
Machtley,Ronald,RI,1,R,N,N,0.113,-0.86,,,,,,,
McHugh,John,NY,24,R,N,N,0.225,-0.063,,,,,,,
Ravenel,Arthur,SC,1,R,N,N,0.162,-0.119,,,,,,,
Saxton,Jim,NJ,3,R,N,N,0.238,-0.378,,,,,,,
Spence,Floyd,SC,2,R,N,Y,0.32,0.185,,,,,,,
Stump,Bob,AZ,3,R,N,N,0.703,0.203,,,,,,,
Talent,James,MO,2,R,N,N,0.364,0.098,,,,,,,
Torkildsen,Peter,MA,6,R,N,N,0.155,-0.7,,,,,,,
Weldon,Curt,PA,7,R,N,N,0.232,-0.324,,,,,,,
