Member_Last,Member_First,State,District,Party,Chair,Ranking,NOMINATE_DIM1,NOMINATE_DIM2,,,,,,,,,,
Bartlett,Roscoe,MD,6,R,N,N,0.493,-0.091,,,,,,,,,,
Bateman,Herbert,VA,1,R,N,N,0.242,0.191,,,,,,,,,,
Buyer,Steve,IN,5,R,N,N,0.435,0.192,,,,,,,,,,
Chambliss,Saxby,GA,8,R,N,N,0.423,0.205,,,,,,,,,,
Cunningham,Randy,CA,51,R,N,N,0.411,0.001,,,,,,,,,,
Dornan,Robert,CA,46,R,N,N,0.49,-0.111,,,,,,,,,,
Everett,Terry,AL,2,R,N,N,0.414,0.528,,,,,,,,,,
Fowler,Tillie,FL,4,R,N,N,0.329,-0.209,,,,,,,,,,
Hansen,James,UT,1,R,N,N,0.496,0.143,,,,,,,,,,
Hastings,Richard,WA,4,R,N,N,0.416,0.411,,,,,,,,,,
Hefley,Joel,CO,5,R,N,N,0.591,0.13,,,,,,,,,,
Hilleary,Van,TN,4,R,N,N,0.543,0.449,,,,,,,,,,
Hostettler,John,IN,8,R,N,N,0.705,0.077,,,,,,,,,,
Hunter,Duncan,CA,52,R,N,N,0.47,0.02,,,,,,,,,,
Jones,Walter,NC,3,R,N,N,0.244,-0.362,,,,,,,,,,
Kasich,John,OH,12,R,N,N,0.314,0.013,,,,,,,,,,
Lewis,Ronald,KY,2,R,N,N,0.418,0.417,,,,,,,,,,
Longley,James,ME,1,R,N,N,0.253,-0.282,,,,,,,,,,
McHugh,John,NY,24,R,N,N,0.225,-0.063,,,,,,,,,,
McKeon,Howard,CA,25,R,N,N,0.396,0.208,,,,,,,,,,
Saxton,Jim,NJ,3,R,N,N,0.238,-0.378,,,,,,,,,,
Scarborough,Joe ,FL,1,R,N,N,0.672,-0.433,,,,,,,,,,
Spence,Floyd,SC,2,R,Y,N,0.32,0.185,,,,,,,,,,
Stump,Bob,AZ,3,R,N,N,0.703,0.203,,,,,,,,,,
Talent,James,MO,2,R,N,N,0.364,0.098,,,,,,,,,,
Thornberry,Mac,TX,13,R,N,N,0.525,0.313,,,,,,,,,,
Tiahrt,Todd,KS,4,R,N,N,0.449,0.341,,,,,,,,,,
Torkildsen,Peter,MA,6,R,N,N,0.155,-0.7,,,,,,,,,,
Watts,J.C.,OK,4,R,N,N,0.406,0.286,,,,,,,,,,
Weldon,Curt,PA,7,R,N,N,0.232,-0.324,,,,,,,,,,
Abercrombie,Neil,HI,1,D,N,N,-0.432,-0.026,,,,,,,,,,
Browder,Glen,AL,3,D,N,N,-0.165,0.826,,,,,,,,,,
Dellums,Ronald,CA,9,D,N,Y,-0.644,-0.646,,,,,,,,,,
Edwards,Chet,TX,11,D,N,N,-0.226,0.5,,,,,,,,,,
Evans,Lane,IL,17,D,N,N,-0.454,-0.181,,,,,,,,,,
Geren,Pete,TX,12,D,N,N,-0.032,0.729,,,,,,,,,,
Harman,Jane,CA,36,D,N,N,-0.262,-0.12,,,,,,,,,,
Jefferson,William,LA,2,D,N,N,-0.424,0.242,,,,,,,,,,
Kennedy,Patrick,RI,1,D,N,N,-0.409,-0.062,,,,,,,,,,
DeLauro,Rosa,CT,3,D,N,N,-0.414,-0.107,,,,,,,,,,
McHale,Paul,PA,15,D,N,N,-0.242,-0.002,,,,,,,,,,
Meehan,Martin,MA,5,D,N,N,-0.39,-0.539,,,,,,,,,,
Montgomery,G.V. (Sonny),MS,3,D,N,N,0.017,1,,,,,,,,,,
Ortiz,Solomn,TX,27,D,N,N,-0.272,0.712,,,,,,,,,,
Peterson,Pete,FL,2,D,N,N,-0.261,0.417,,,,,,,,,,
Picket,Owen,VA,2,D,N,N,-0.149,0.555,,,,,,,,,,
Schroeder,Patricia,CO,1,D,N,N,-0.225,-0.974,,,,,,,,,,
Sisisky,Norman,VA,4,D,N,N,-0.122,0.453,,,,,,,,,,
Skelton,Ike,MO,4,D,N,N,-0.172,0.724,,,,,,,,,,
Spratt,John,SC,5,D,N,N,-0.256,0.255,,,,,,,,,,
Tanner,John,TN,8,D,N,N,-0.182,0.648,,,,,,,,,,
Taylor,Gene,MS,4,D,N,N,-0.045,0.893,,,,,,,,,,
Tejeda,Frank,TX,28,D,N,N,-0.277,0.961,,,,,,,,,,
Underwood,Robert,GU,1,D,N,N,,,,,,,,,,,,
Ward,Mike,KY,3,D,N,N,-0.349,0.089,,,,,,,,,,
