Member_Last,Member_First,State,District,Party,Chair,Ranking,NOMINATE_DIM1,NOMINATE_DIM2,,,,,,,,,,,,
Akin,W. Todd,MO,2,R,N,N,0.612,0.235,,,,,,,,,,,,
Bartlett,Roscoe,MD,6,R,N,N,0.493,-0.091,,,,,,,,,,,,
Bradley,Jeb,NH,1,R,N,N,0.371,-0.578,,,,,,,,,,,,
Calvert,Ken,CA,43,R,N,N,0.339,0.276,,,,,,,,,,,,
Conaway,Michael,TX,11,R,N,N,0.593,0.367,,,,,,,,,,,,
Davis,Jo Ann,VA,1,R,N,N,0.426,0.173,,,,,,,,,,,,
Drake,Thelma,VA,2,R,N,N,0.402,0.287,,,,,,,,,,,,
Everett,Terry,AL,2,R,N,N,0.414,0.528,,,,,,,,,,,,
Forbes,J. Randy,VA,4,R,N,N,0.407,0.218,,,,,,,,,,,,
Franks,Trent,AZ,2,R,N,N,0.749,0.087,,,,,,,,,,,,
Gibbons,Jim,NV,2,R,N,N,0.484,-0.088,,,,,,,,,,,,
Hayes,Robin,NC,8,R,N,N,0.351,0.388,,,,,,,,,,,,
Hefley,Joel,CO,5,R,N,N,0.591,0.13,,,,,,,,,,,,
Hostettler,John,IN,8,R,N,N,0.705,0.077,,,,,,,,,,,,
Hunter,Duncan,CA,52,R,Y,N,0.47,0.02,,,,,,,,,,,,
Jones,Walter,NC,3,R,N,N,0.244,-0.362,,,,,,,,,,,,
Kline,John,MN,2,R,N,N,0.49,0.154,,,,,,,,,,,,
LoBiondo,Frank,NJ,2,R,N,N,0.211,-0.224,,,,,,,,,,,,
McHugh,John,NY,24,R,N,N,0.225,-0.063,,,,,,,,,,,,
McKeon,Howard,CA,25,R,N,N,0.396,0.208,,,,,,,,,,,,
Miller,Jeff,FL,1,R,N,N,0.633,0.155,,,,,,,,,,,,
Miller,Candice,MI,10,R,N,N,0.343,-0.001,,,,,,,,,,,,
McMorris Rodgers,Cathy,WA,5,R,N,N,0.436,0.098,,,,,,,,,,,,
Rogers,Mike,AL,3,R,N,N,0.379,0.377,,,,,,,,,,,,
Ryun,Jim,KS,2,R,N,N,0.547,0.267,,,,,,,,,,,,
Saxton,Jim,NJ,3,R,N,N,0.238,-0.378,,,,,,,,,,,,
Schwarz,Joe,MI,7,R,N,N,0.249,-0.282,,,,,,,,,,,,
Shuster,Bill,PA,9,R,N,N,0.374,0.323,,,,,,,,,,,,
Simmons,Robin,FL,2,R,N,N,0.171,-0.566,,,,,,,,,,,,
Thornberry,Mac,TX,13,R,N,N,0.525,0.313,,,,,,,,,,,,
Turner,Michael,OH,3,R,N,N,0.266,0.254,,,,,,,,,,,,
Weldon,Curt,PA,7,R,N,N,0.232,-0.324,,,,,,,,,,,,
Wilson,Joe ,SC,2,R,N,N,0.53,0.16,,,,,,,,,,,,
Abercrombie,Neil,HI,1,D,N,N,-0.432,-0.026,,,,,,,,,,,,
Andrews,Robert,NJ,1,D,N,N,-0.297,-0.119,,,,,,,,,,,,
Bordallo,Madeleine,GU,1,D,N,N,,,,,,,,,,,,,,
Boren,Dan,OK,2,D,N,N,-0.112,0.994,,,,,,,,,,,,
Brady,Robert,PA,1,D,N,N,-0.484,0.225,,,,,,,,,,,,
Butterfield,G.K.,NC,1,D,N,N,-0.404,0.184,,,,,,,,,,,,
Cooper,Jim,TN,5,D,N,N,-0.164,-0.033,,,,,,,,,,,,
Davis,Susan,CA,49,D,N,N,-0.343,-0.103,,,,,,,,,,,,
Evans,Lane,IL,17,D,N,N,-0.454,-0.181,,,,,,,,,,,,
Israel,Steve,NY,2,D,N,N,-0.334,-0.051,,,,,,,,,,,,
Langevin,James,RI,2,D,N,N,-0.375,0.114,,,,,,,,,,,,
Larsen,Rick,WA,2,D,N,N,-0.365,0.164,,,,,,,,,,,,
Marshall,Jim,GA,3,D,N,N,-0.119,0.803,,,,,,,,,,,,
McIntyre,Mike,NC,7,D,N,N,-0.148,0.56,,,,,,,,,,,,
McKinney,Cynthia,GA,4,D,N,N,-0.533,-0.583,,,,,,,,,,,,
Meehan,Martin,MA,5,D,N,N,-0.39,-0.539,,,,,,,,,,,,
Meek,Kendrick,FL,17,D,N,N,-0.363,0.108,,,,,,,,,,,,
Ortiz,Solomn,TX,27,D,N,N,-0.272,0.712,,,,,,,,,,,,
Reyes,Silvestre,TX,16,D,N,N,-0.321,0.304,,,,,,,,,,,,
Ryan,Tim,OH,17,D,N,N,-0.402,0.208,,,,,,,,,,,,
Sanchez,Loretta,CA,46,D,N,N,-0.367,0.025,,,,,,,,,,,,
Skelton,Ike,MO,4,D,N,Y,-0.172,0.724,,,,,,,,,,,,
Smith,Adam,WA,9,D,N,N,-0.291,-0.166,,,,,,,,,,,,
Snyder,Vic,AR,2,D,N,N,-0.268,0.055,,,,,,,,,,,,
Spratt,John,SC,5,D,N,N,-0.256,0.255,,,,,,,,,,,,
Tauscher,Ellen,CA,10,D,N,N,-0.308,-0.169,,,,,,,,,,,,
Taylor,Gene,MS,4,D,N,N,-0.045,0.893,,,,,,,,,,,,
Udall,Mark,CO,2,D,N,N,-0.353,0.049,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
