Member_Last,Member_First,State,District,Party,Chair,Ranking,NOMINATE_DIM1,NOMINATE_DIM2,,
Bingaman,Jeff,NM,,D,N,N,-0.266,0.045,,
Byrd,Robert,WV,,D,N,N,-0.309,0.729,,
Coats,Dan,IN,,R,N,N,0.375,-0.227,,
Cohen,William,ME,,R,N,N,0.100,-0.615,,
Dixon,Alan,IL,,D,N,N,-0.188,0.312,,
Exon,James,NE,,D,N,N,-0.214,0.868,,
Glenn,John,OH,,D,N,N,-0.262,-0.067,,
Gore,Al ,TN,,D,N,N,-0.316,0.155,,
Kennedy,Edward,MA,,D,N,N,-0.443,-0.490,,
Levin,Carl,MI,,D,N,N,-0.395,-0.116,,
Lott,Trent,MS,,R,N,N,0.390,0.194,,
Mack,Connie,FL,,R,N,N,0.466,-0.321,,
McCain,John,AZ,,R,N,N,0.381,-0.626,,
Nunn,Sam,GA,,D,Y,N,-0.145,0.754,,
Shelby,Richard,AL,,D,N,N,0.013,0.658,,
Smith,Bob,NH,,R,N,N,0.623,-0.468,,
Thurmond,Strom,SC,,R,N,N,0.391,0.227,,
Wallop,Malcolm,WY,,R,N,N,0.575,-0.388,,
Warner,John,VA,,R,N,Y,0.262,-0.131,,
Wirth,Timothy,CO,,D,N,N,-0.293,-0.315,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
