Member_Last,Member_First,State,District,Party,Chair,Ranking,NOMINATE_DIM1,NOMINATE_DIM2,,,,,,,,,,
Bingaman,Jeff,NM,,D,N,N,-0.266,0.045,,,,,,,,,,
Bryan,Richard,NV,,D,N,N,-0.241,0.176,,,,,,,,,,
Byrd,Robert,WV,,D,N,N,-0.309,0.729,,,,,,,,,,
Coats,Dan,IN,,R,N,N,0.375,-0.227,,,,,,,,,,
Cohen,William,ME,,R,N,N,0.100,-0.615,,,,,,,,,,
Exon,J. James,NE,,D,N,N,-0.214,0.868,,,,,,,,,,
Frahm,Sheila,KS,,R,N,N,0.492,0.040,,,,,,,,,,
Glenn,John,OH,,D,N,N,-0.262,-0.067,,,,,,,,,,
Hutchison,Kay Bailey,TX,,R,N,N,0.356,0.012,,,,,,,,,,
Inhofe,James,OK,,R,N,N,0.552,0.045,,,,,,,,,,
Kempthorne,Dirk,ID,,R,N,N,0.460,-0.040,,,,,,,,,,
Kennedy,Edward,MA,,D,N,N,-0.443,-0.490,,,,,,,,,,
Levin,Carl,MI,,D,N,N,-0.395,-0.116,,,,,,,,,,
Lieberman,Joseph,CT,,D,N,N,-0.205,-0.615,,,,,,,,,,
Lott,Trent,MI,,R,N,N,0.390,0.194,,,,,,,,,,
McCain,John,AZ,,R,N,N,0.381,-0.626,,,,,,,,,,
Nunn,Sam,GA,,D,N,Y,-0.145,0.754,,,,,,,,,,
Robb,Charles,VA,,D,N,N,-0.200,0.194,,,,,,,,,,
Santorum,Rick,PA,,R,N,N,0.338,-0.234,,,,,,,,,,
Smith,Bob,NH,,R,N,N,0.623,-0.468,,,,,,,,,,
Thurmond,Strom,SC,,R,Y,N,0.391,0.227,,,,,,,,,,
Warner,John,VA,,R,N,N,0.262,-0.131,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
