Member_Last,Member_First,State,District,Party,Chair,Ranking,NOMINATE_DIM1,NOMINATE_DIM2,,,
Bingaman,Jeff,NM,,D,N,N,-0.266,0.045,,,
Byrd,Robert,WV,,D,N,N,-0.309,0.729,,,
Bryan,Richard,NV,,D,N,N,-0.241,0.176,,,
Coats,Dan,IN,,R,N,N,0.375,0.868,,,
Cohen,William,ME,,R,N,N,0.100,-0.067,,,
Exon,J. James,NE,,D,N,N,-0.214,-0.012,,,
Faircloth,Lauch,NC,,R,N,N,0.709,-0.490,,,
Glenn,John,OH,,D,N,N,-0.262,-0.116,,,
Graham,Bob,FL,,D,N,N,-0.231,-0.312,,,
Hutchison,Kay Bailey,TX,,R,N,N,0.419,0.754,,,
Kempthorne,Dirk,ID,,R,N,N,0.460,-0.040,,,
Kennedy,Edward,MA,,D,N,N,-0.443,0.658,,,
Levin,Carl,MI,,D,N,N,-0.395,-0.227,,,
Lieberman,Joseph,CT,,D,N,N,-0.205,-0.615,,\,
Lott,Trent,MI,,R,N,N,0.390,0.500,,,
McCain,John,AZ,,R,N,N,0.381,0.072,,,
Nunn,Sam,GA,,D,Y,N,-0.145,0.155,,,
Robb,Charles,VA,,D,N,N,-0.200,0.194,,,
Shelby,Richard,AL,,D,N,N,0.013,-0.626,,,
Smith,Bob,NH,,R,N,N,0.623,-0.468,,,
Thurmond,Strom,SC,,R,N,Y,0.391,0.227,,,
Warner,John,VA,,R,N,N,0.262,-0.131,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
